experiment,fold_label,n_test,test_borda,oracle,cpsat_baseline,accuracy,inner_cv_score,fit_seconds,best_params
SVM-RBF/std,2011,100,61.428563329305035,66.59337066371282,54.94205904206017,0.81,0.6004706910674678,20.678807258605957,"{""C"": 1.489125658503292, ""gamma"": 0.04970595502987433, ""class_weight"": null}"
SVM-RBF/std,2012,100,55.34380761716774,66.58671597450157,54.50189823459618,0.8,0.6031854478070169,14.734391450881958,"{""C"": 1.2388230935988216, ""gamma"": 0.05518405480265695, ""class_weight"": null}"
SVM-RBF/std,2013,96,59.38638034708731,68.86924626030311,51.489262248403776,0.7604166666666666,0.6046358856032463,17.617241382598877,"{""C"": 1.2553503062625453, ""gamma"": 0.045254837721089486, ""class_weight"": null}"
SVM-RBF/std,2014,98,62.180620960183745,67.56570461498421,63.81705734616651,0.8673469387755102,0.5996460857816963,16.84240174293518,"{""C"": 1.257833021614134, ""gamma"": 0.045179112077692866, ""class_weight"": null}"
SVM-RBF/std,2015,91,55.80187349988178,65.52510745661893,51.768805222471634,0.7692307692307693,0.60068003546788,25.83468747138977,"{""C"": 1.1806363926487635, ""gamma"": 0.060328550717779796, ""class_weight"": null}"
SVM-RBF/std,2016,95,57.49171683642481,61.63289378370745,55.98267855075409,0.7578947368421053,0.6028276320245627,26.651313543319702,"{""C"": 3.6578246287401375, ""gamma"": 0.07068339894516333, ""class_weight"": null}"
SVM-RBF/std,2017,92,54.61782890779555,67.2822326415988,50.90809450050229,0.7717391304347826,0.605752568716736,27.339293479919434,"{""C"": 0.9869717513339248, ""gamma"": 0.050421380360122656, ""class_weight"": null}"
SVM-RBF/std,2018,90,57.728224436076474,63.23556268932011,56.76675090065444,0.8444444444444444,0.6035627892202042,27.64064383506775,"{""C"": 0.9582423372865245, ""gamma"": 0.032996288381022205, ""class_weight"": null}"
SVM-RBF/std,2019,89,55.35376301149905,62.528114675166705,53.68709459764611,0.7528089887640449,0.6034506451229432,16.807466983795166,"{""C"": 1.517944215778707, ""gamma"": 0.02849141021053669, ""class_weight"": null}"
SVM-RBF/std,2020,94,54.726830399643156,61.60641204711305,49.62408215816311,0.7978723404255319,0.6046158426104722,22.993196964263916,"{""C"": 4.733249421717272, ""gamma"": 0.053991675150328045, ""class_weight"": null}"
SVM-RBF/std,2021,91,56.70254564948732,64.91235187306762,52.690987240595135,0.8131868131868132,0.6042484521281526,21.686997413635254,"{""C"": 0.8417589958894387, ""gamma"": 0.03990167664941664, ""class_weight"": null}"
SVM-RBF/std,2022,92,56.64002703732555,66.40072708234466,54.275380541480686,0.717391304347826,0.6064153962690657,27.09081506729126,"{""C"": 2.0740809564730154, ""gamma"": 0.032997973109461, ""class_weight"": null}"
SVM-RBF/std,2023,90,52.0367758434404,63.33144559857347,51.967456022152945,0.6777777777777778,0.6043988671184196,25.19549870491028,"{""C"": 0.8073627457747727, ""gamma"": 0.035899136351269775, ""class_weight"": null}"
SVM-RBF/std,2024,84,51.46276149308867,61.514870262974675,49.34045550057922,0.7380952380952381,0.6034921463753042,21.687315940856934,"{""C"": 0.9285909399955576, ""gamma"": 0.03665309087334565, ""class_weight"": null}"
SVM-RBF/std,2025,77,42.19194128684745,59.0246616000226,37.11278670593358,0.6363636363636364,0.6042128669481117,25.24954867362976,"{""C"": 1.6359827333706913, ""gamma"": 0.05580216215985006, ""class_weight"": null}"
SVM-RBF/robust,2011,100,60.12013356154968,66.59337066371282,54.94205904206017,0.78,0.5918744820932896,17.116222620010376,"{""C"": 16.478298213097492, ""gamma"": 0.044632475366213314, ""class_weight"": null}"
SVM-RBF/robust,2012,100,54.332397441716594,66.58671597450157,54.50189823459618,0.73,0.5962382600411497,29.54653525352478,"{""C"": 1.5088206811026823, ""gamma"": 0.022476027365334935, ""class_weight"": null}"
SVM-RBF/robust,2013,96,58.66617005114257,68.86924626030311,51.489262248403776,0.8020833333333334,0.6000468152606294,17.017876148223877,"{""C"": 20.054116885039704, ""gamma"": 0.03840304612247855, ""class_weight"": null}"
SVM-RBF/robust,2014,98,58.73863126124839,67.56570461498421,63.81705734616651,0.7448979591836735,0.5975656067390724,20.89087414741516,"{""C"": 44.39413207111398, ""gamma"": 0.02815422853564132, ""class_weight"": null}"
SVM-RBF/robust,2015,91,54.98229077562165,65.52510745661893,51.768805222471634,0.7252747252747253,0.6022006902240244,17.236210107803345,"{""C"": 6.472552603529853, ""gamma"": 0.06876852934382126, ""class_weight"": null}"
SVM-RBF/robust,2016,95,57.77743509729256,61.63289378370745,55.98267855075409,0.7684210526315789,0.5978688658895408,34.476739168167114,"{""C"": 39.07810036979718, ""gamma"": 0.040155937515037064, ""class_weight"": null}"
SVM-RBF/robust,2017,92,54.24684662647313,67.2822326415988,50.90809450050229,0.7934782608695652,0.6070190697633564,28.59032368659973,"{""C"": 51.169429674810814, ""gamma"": 0.035202576043372485, ""class_weight"": null}"
SVM-RBF/robust,2018,90,56.81866677711005,63.23556268932011,56.76675090065444,0.8333333333333334,0.5975278947475193,18.332030534744263,"{""C"": 12.602250423851709, ""gamma"": 0.08798546508496559, ""class_weight"": null}"
SVM-RBF/robust,2019,89,55.32729153785097,62.528114675166705,53.68709459764611,0.7865168539325843,0.5938942195221971,31.08420443534851,"{""C"": 1.3307087281686765, ""gamma"": 0.11000393542038178, ""class_weight"": null}"
SVM-RBF/robust,2020,94,53.24141996976865,61.60641204711305,49.62408215816311,0.776595744680851,0.6043137332236421,28.444580554962158,"{""C"": 9.228020892931067, ""gamma"": 0.08496132896515803, ""class_weight"": null}"
SVM-RBF/robust,2021,91,53.55968850663018,64.91235187306762,52.690987240595135,0.7802197802197802,0.603485048096855,27.396841287612915,"{""C"": 45.40328612850747, ""gamma"": 0.05920863574819166, ""class_weight"": null}"
SVM-RBF/robust,2022,92,55.305387984652384,66.40072708234466,54.275380541480686,0.6739130434782609,0.6085709399291328,34.29488754272461,"{""C"": 39.5950531655915, ""gamma"": 0.03056343014383109, ""class_weight"": null}"
SVM-RBF/robust,2023,90,52.161161283865084,63.33144559857347,51.967456022152945,0.6666666666666666,0.6005654190984446,29.832240104675293,"{""C"": 14.198125886789457, ""gamma"": 0.05535477351407572, ""class_weight"": null}"
SVM-RBF/robust,2024,84,50.355295993985365,61.514870262974675,49.34045550057922,0.7380952380952381,0.5950617395484732,27.383750677108765,"{""C"": 2.600346029796561, ""gamma"": 0.07148373852886712, ""class_weight"": null}"
SVM-RBF/robust,2025,77,45.04018952937356,59.0246616000226,37.11278670593358,0.6623376623376623,0.5986412734614073,38.70055532455444,"{""C"": 16.620981665779226, ""gamma"": 0.05823608399196678, ""class_weight"": null}"
SVM-RBF/quantile,2011,100,61.8650583001626,66.59337066371282,54.94205904206017,0.84,0.5961830915422413,59.48804831504822,"{""C"": 1.2958210351851387, ""gamma"": 0.008370829299849572, ""class_weight"": null}"
SVM-RBF/quantile,2012,100,54.08050301183291,66.58671597450157,54.50189823459618,0.76,0.5977042097836173,85.03974533081055,"{""C"": 49.59069725357867, ""gamma"": 0.8192866241781116, ""class_weight"": null}"
SVM-RBF/quantile,2013,96,59.52365522881284,68.86924626030311,51.489262248403776,0.8125,0.5975719680318405,58.97647738456726,"{""C"": 21.210278531235957, ""gamma"": 0.0010798224916320654, ""class_weight"": null}"
SVM-RBF/quantile,2014,98,61.28667369851081,67.56570461498421,63.81705734616651,0.8367346938775511,0.5964015255361069,98.178635597229,"{""C"": 60.83747294250296, ""gamma"": 0.2273714603202845, ""class_weight"": ""balanced""}"
SVM-RBF/quantile,2015,91,54.949324182970436,65.52510745661893,51.768805222471634,0.7252747252747253,0.5974493887380871,101.34014296531677,"{""C"": 27.898026189337582, ""gamma"": 0.6977335681662477, ""class_weight"": ""balanced""}"
SVM-RBF/quantile,2016,95,57.29146877514619,61.63289378370745,55.98267855075409,0.7684210526315789,0.5998899707440295,102.68677234649658,"{""C"": 10.025940608921792, ""gamma"": 0.12256254470359144, ""class_weight"": null}"
SVM-RBF/quantile,2017,92,53.76121274015881,67.2822326415988,50.90809450050229,0.75,0.6021130360440353,68.80470323562622,"{""C"": 20.763924078417915, ""gamma"": 0.6301841897301521, ""class_weight"": ""balanced""}"
SVM-RBF/quantile,2018,90,54.78255624779873,63.23556268932011,56.76675090065444,0.7444444444444445,0.5982437351494826,99.28633975982666,"{""C"": 43.996303334410605, ""gamma"": 0.5067177589784747, ""class_weight"": ""balanced""}"
SVM-RBF/quantile,2019,89,55.81441653349908,62.528114675166705,53.68709459764611,0.797752808988764,0.5981651535098316,77.35826253890991,"{""C"": 50.98825937092935, ""gamma"": 0.20839654539782596, ""class_weight"": ""balanced""}"
SVM-RBF/quantile,2020,94,54.602920634661054,61.60641204711305,49.62408215816311,0.776595744680851,0.6011105195995766,95.82389068603516,"{""C"": 24.020881566296538, ""gamma"": 0.10424872245138993, ""class_weight"": null}"
SVM-RBF/quantile,2021,91,52.83384438345227,64.91235187306762,52.690987240595135,0.7802197802197802,0.6046778069725451,85.18857049942017,"{""C"": 0.6044851215069329, ""gamma"": 0.019690504417920075, ""class_weight"": null}"
SVM-RBF/quantile,2022,92,56.63991787526841,66.40072708234466,54.275380541480686,0.6847826086956522,0.6047934007359833,73.22786116600037,"{""C"": 1.1015929247976928, ""gamma"": 0.005738453778446428, ""class_weight"": null}"
