experiment,total_borda,total_oracle,total_cpsat,oracle_ratio,accuracy,n_total,extras
SVM-RBF/std,833.0936606552541,966.6094172240098,788.8748488121598,0.8618720713975687,0.7701232777374909,1379,"{""key"": ""svm_std"", ""n_trials"": 100}"
SVM-RBF/robust,820.6730063982808,966.6094172240098,788.8748488121598,0.8490223577121342,0.7519941986947063,1379,"{""key"": ""svm_robust"", ""n_trials"": 100}"
SVM-RBF/quantile,824.0225840871956,966.6094172240098,788.8748488121598,0.8524876433065312,0.757070340826686,1379,"{""key"": ""svm_quantile"", ""n_trials"": 100}"
SVM-RBF/power,824.115119687954,966.6094172240098,788.8748488121598,0.8525833754596733,0.7730239303843365,1379,"{""key"": ""svm_power"", ""n_trials"": 100}"
SVM-RBF/log_std,818.650485373786,966.6094172240098,788.8748488121598,0.8469299706647337,0.7657722987672226,1379,"{""key"": ""svm_log_std"", ""n_trials"": 100}"
SVM-RBF/log_quantile,822.2451489959146,966.6094172240098,788.8748488121598,0.8506488084476844,0.7621464829586657,1379,"{""key"": ""svm_log_quantile"", ""n_trials"": 100}"
SVM-RBF/log_robust,814.3284198426741,966.6094172240098,788.8748488121598,0.8424586035808868,0.7541696881798404,1379,"{""key"": ""svm_log_robust"", ""n_trials"": 100}"
SVM-RBF/log_power,823.152620475134,966.6094172240098,788.8748488121598,0.8515876276470934,0.766497461928934,1379,"{""key"": ""svm_log_power"", ""n_trials"": 100}"
SVM-RBF-MW/log_std,833.8537079581793,966.6094172240098,788.8748488121598,0.8626583737958093,0.7425670775924583,1379,"{""key"": ""svm_mw_log_std"", ""n_trials"": 100}"
SVM-RBF-MW/log_quantile,833.8720598969192,966.6094172240098,788.8748488121598,0.8626773596844349,0.7411167512690355,1379,"{""key"": ""svm_mw_log_quantile"", ""n_trials"": 100}"
SVM-RBF-MW/quantile,838.9859383123809,966.6094172240098,788.8748488121598,0.8679678920590813,0.747643219724438,1379,"{""key"": ""svm_mw_quantile"", ""n_trials"": 100}"
