experiment,total_borda,total_oracle,total_cpsat,oracle_ratio,accuracy,n_total,extras
BagSVM-MW/log_std,883.5411868781288,986.0895501101968,849.2357249948261,0.8960050198071685,0.8107324147933285,1379,"{""key"": ""bag_svm_mw_log_std"", ""n_trials"": 60}"
BagSVM-MW/quantile,881.1113406382701,986.0895501101968,849.2357249948261,0.8935408965035729,0.8071065989847716,1379,"{""key"": ""bag_svm_mw_quantile"", ""n_trials"": 60}"
SVM-RBF/std,860.0366266987469,986.0895501101968,849.2357249948261,0.8721688883150994,0.7976794778825236,1379,"{""key"": ""svm_std"", ""n_trials"": 100}"
SVM-RBF/log_std,867.5683806295395,986.0895501101968,849.2357249948261,0.8798068902896169,0.7998549673676577,1379,"{""key"": ""svm_log_std"", ""n_trials"": 100}"
SVM-RBF-MW/quantile,876.9811114211061,986.0895501101968,849.2357249948261,0.8893524034638662,0.7940536620739667,1379,"{""key"": ""svm_mw_quantile"", ""n_trials"": 100}"
BagSVM-MW/log_quantile,881.0254611997896,986.0895501101968,849.2357249948261,0.8934538055913216,0.8063814358230602,1379,"{""key"": ""bag_svm_mw_log_quantile"", ""n_trials"": 60}"
BagSVM-MW/log_power,883.6588746237056,986.0895501101968,849.2357249948261,0.8961243677361307,0.807831762146483,1379,"{""key"": ""bag_svm_mw_log_power"", ""n_trials"": 60}"
BagSVM-MW/std,872.9205840004835,986.0895501101968,849.2357249948261,0.8852345954816512,0.8107324147933285,1379,"{""key"": ""bag_svm_mw_std"", ""n_trials"": 60}"
BagSVM-MW/log_std,877.6604937703514,986.0895501101968,849.2357249948261,0.8900413696426168,0.8020304568527918,1379,"{""key"": ""bag_svm_mw_log_std_x20"", ""n_trials"": 100}"
DecTheor/log_std+log_std,874.4251029147475,986.0895501101968,849.2357249948261,0.8867603381630292,0.7969543147208121,1379,"{""key"": ""dec_theor_log_std"", ""n_trials"": 60}"
CalibBag-MW/log_std,875.325920685677,986.0895501101968,849.2357249948261,0.8876738634821333,0.8107324147933285,1379,"{""key"": ""calib_bag_log_std"", ""n_trials"": 60}"
XGB-MW/quantile,887.1484390149366,986.0895501101968,849.2357249948261,0.8996631582961168,0.8056562726613488,1379,"{""key"": ""xgb_quantile"", ""n_trials"": 80}"
MO-SVR/log_std,886.7339899544899,986.0895501101968,849.2357249948261,0.8992428627353329,0.8092820884699057,1379,"{""key"": ""mo_svr_log_std"", ""n_trials"": 60}"
BagSVM-MW/asinh_std,878.4429883318425,986.0895501101968,849.2357249948261,0.8908349026046116,0.8085569253081943,1379,"{""key"": ""bag_svm_mw_asinh_std"", ""n_trials"": 60}"
BagSVM-MW/asinh_quantile,881.0254611997896,986.0895501101968,849.2357249948261,0.8934538055913216,0.8063814358230602,1379,"{""key"": ""bag_svm_mw_asinh_quantile"", ""n_trials"": 60}"
BagSVM-MW/rank_normal,879.1646342953147,986.0895501101968,849.2357249948261,0.8915667285968774,0.8085569253081943,1379,"{""key"": ""bag_svm_mw_rank_normal"", ""n_trials"": 60}"
BagSVM-MW/rank_std,877.7934740553037,986.0895501101968,849.2357249948261,0.8901762258379162,0.8027556200145033,1379,"{""key"": ""bag_svm_mw_rank_std"", ""n_trials"": 60}"
BagSVM-MW/log_std,881.3550731064422,986.0895501101968,849.2357249948261,0.8937880672277174,0.8085569253081943,1379,"{""key"": ""bag_svm_mw_log_std_t300"", ""n_trials"": 300}"
