year,always_cpsat,always_ek1,plain_svc,bag_svc_mw,oracle
2011,60.64,39.36,61.58,62.07,66.16
2012,57.76,42.24,57.76,57.76,66.76
2013,53.65,41.35,55.53,59.98,67.74
2014,66.98,31.02,64.93,68.70,72.25
2015,50.13,39.87,52.79,58.10,63.63
2016,63.32,31.68,62.81,63.29,65.36
2017,51.89,40.11,56.93,56.12,68.14
2018,62.00,28.00,63.00,62.00,67.22
2019,58.86,30.14,59.11,60.53,64.37
2020,55.89,29.11,56.13,57.23,62.91
2021,55.33,32.67,56.08,56.08,66.10
2022,57.05,34.95,58.60,59.74,67.44
2023,59.37,30.63,57.37,58.95,67.01
2024,52.50,31.50,54.36,55.48,63.66
2025,43.87,32.13,43.06,44.82,57.33
