model,dataset,fold_label,n_test,test_borda,oracle,cpsat_baseline,accuracy,inner_cv_score,fit_seconds,best_params
Dummy,cpsat8_k1,2011-2015-2025,268,143.8236509704654,191.14313972035438,143.8236509704654,0.6902985074626866,0.5837355926855639,0.00899362564086914,{}
Dummy,cpsat8_k1,2012-2021-2024,275,156.53334097577053,193.01393811054388,156.53334097577053,0.7381818181818182,0.5772410627694262,0.007298946380615234,{}
Dummy,cpsat8_k1,2013-2022-2023,278,157.7320988120374,198.60141894122125,157.7320988120374,0.6618705035971223,0.5761074829722727,0.010016441345214844,{}
Dummy,cpsat8_k1,2014-2017-2019,279,168.41224644431492,197.37605193174969,168.41224644431492,0.7849462365591398,0.5646820013994811,0.009402036666870117,{}
Dummy,cpsat8_k1,2016-2018-2020,279,162.37351160957166,186.4748685201406,162.37351160957166,0.7956989247311828,0.5719688966890641,0.009469032287597656,{}
LogReg,cpsat8_k1,2011-2015-2025,268,144.97022535380847,191.14313972035438,143.8236509704654,0.6977611940298507,0.5844130059840367,3.732837200164795,{'C': 0.00410683840836959}
LogReg,cpsat8_k1,2012-2021-2024,275,144.63453220370462,193.01393811054388,156.53334097577053,0.6618181818181819,0.5908182065770087,7.004881381988525,{'C': 395.5232336089215}
LogReg,cpsat8_k1,2013-2022-2023,278,163.99594286795093,198.60141894122125,157.7320988120374,0.6618705035971223,0.5812712553671924,6.664640665054321,{'C': 212.72176112974043}
LogReg,cpsat8_k1,2014-2017-2019,279,167.31100310713404,197.37605193174969,168.41224644431492,0.7777777777777778,0.5774873236771957,3.587050437927246,{'C': 0.01725761672326706}
LogReg,cpsat8_k1,2016-2018-2020,279,164.4400535732006,186.4748685201406,162.37351160957166,0.7634408602150538,0.5757607428868472,5.876184940338135,{'C': 24.658329458549105}
kNN,cpsat8_k1,2011-2015-2025,268,155.61357745647962,191.14313972035438,143.8236509704654,0.6977611940298507,0.5986008097460521,0.8606734275817871,"{'k': 6, 'weights': 'distance'}"
kNN,cpsat8_k1,2012-2021-2024,275,163.20151711664076,193.01393811054388,156.53334097577053,0.7527272727272727,0.6012811721880619,0.8789215087890625,"{'k': 8, 'weights': 'distance'}"
kNN,cpsat8_k1,2013-2022-2023,278,161.85426160817528,198.60141894122125,157.7320988120374,0.6942446043165468,0.598488303934635,0.9133367538452148,"{'k': 42, 'weights': 'distance'}"
kNN,cpsat8_k1,2014-2017-2019,279,167.5950131391533,197.37605193174969,168.41224644431492,0.7598566308243727,0.5924442268426925,0.8642957210540771,"{'k': 7, 'weights': 'distance'}"
kNN,cpsat8_k1,2016-2018-2020,279,162.54245212450445,186.4748685201406,162.37351160957166,0.7132616487455197,0.5951417618688779,0.8746247291564941,"{'k': 9, 'weights': 'distance'}"
SVM-RBF,cpsat8_k1,2011-2015-2025,268,159.60460360843817,191.14313972035438,143.8236509704654,0.75,0.603237586335864,4.722650051116943,"{'C': 1.3123555471846908, 'gamma': 0.027303253236916396}"
SVM-RBF,cpsat8_k1,2012-2021-2024,275,162.432329711551,193.01393811054388,156.53334097577053,0.7781818181818182,0.6049455253837268,4.698788166046143,"{'C': 1.0892124926200717, 'gamma': 0.025975645795360564}"
SVM-RBF,cpsat8_k1,2013-2022-2023,278,163.3281699153698,198.60141894122125,157.7320988120374,0.6906474820143885,0.6024812717228734,5.228850603103638,"{'C': 1.3038366142158029, 'gamma': 0.16532771436017266}"
SVM-RBF,cpsat8_k1,2014-2017-2019,279,172.09417022877003,197.37605193174969,168.41224644431492,0.8028673835125448,0.5994689115204499,4.8537070751190186,"{'C': 1.001237352453235, 'gamma': 0.04925364864512856}"
